X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10204618.0153,5166190.8675,450001,20171008792,1706872,20171008792,48,F,IA,77,-77.0,1,77,1,1,88,77,4,1,2014,DODG,CVN,VN,IA,2,1,33,77,77,77,33,35,1,28,6,3,5,70,1,8,1,,0,2017,610118,4654494,,,,,,,2024/08/09 13:53:33+00,,{0C7102E1-A13F-480A-8C6E-9F4C4FC0F640}
-10204618.0153,5166190.8675,450002,20171008792,1706873,20171008792,82,NR,IA,77,-77.0,1,77,1,1,98,77,1,1,2009,Toyota,NR,4S,MD,1,1,33,77,77,77,33,35,1,28,12,3,5,70,1,8,1,,0,2017,610118,4654494,,,,,,,2024/08/09 13:53:33+00,,{9AB4F8D6-9FB4-4118-9577-12B70AA7AD6F}
-10538510.8047,5329498.7015,450003,20171008793,1706874,20171008793,18,M,IA,1,-77.0,1,77,1,1,6,77,1,1,2002,FORD,TAU,4D,IA,1,1,22,6,3,44,44,35,1,5,11,2,5,44,2,8,1,,0,2017,364211,4774943,,,,,,,2024/08/09 13:53:33+00,,{3F1270AE-E178-4617-8CAE-1CE24DAF0699}
-10343413.5419,5072629.0241,450004,20171008796,1706878,20171008796,15,M,IA,77,-77.0,1,77,1,1,99,77,1,1,2007,DODG,CAL,4D,IA,1,1,33,77,77,77,33,20,1,28,1,4,5,71,1,8,1,,0,2017,506983,4583994,,,,,,,2024/08/09 13:53:33+00,,{21AC5632-736D-4830-B083-6A099111BDCB}
-10343413.5419,5072629.0241,450005,20171008796,1706879,20171008796,26,M,WI,77,-77.0,1,77,1,1,99,77,2,1,2006,Dodge,NR,PK,WI,1,9,33,77,77,77,33,20,1,28,5,2,5,71,1,8,1,,0,2017,506983,4583994,,,,,,,2024/08/09 13:53:33+00,,{E5735A79-468D-4437-A5F0-C545049306B5}
-10345015.8787,5070828.4432,450006,20171008797,1706880,20171008797,39,F,IA,77,-77.0,1,77,1,1,88,77,3,1,2010,LINC,MKX,SW,IA,1,1,31,77,77,77,31,65,1,28,12,5,5,1,1,8,1,,0,2017,505780,4582646,,,,,,,2024/08/09 13:53:33+00,,{413AD9E9-AA19-4051-AA09-A8852F13AFBC}
-10344199.2621,5072722.0002,450007,20171008798,1706881,20171008798,25,M,IA,77,-77.0,1,77,99,99,99,77,1,1,2015,Chevrolet,MALIBU LTZ,PC,IA,2,99,33,77,77,77,33,30,2,28,99,9,4,71,2,8,12,,0,2017,506392,4584063,,,,,,,2024/08/09 13:53:33+00,,{CBB5E354-DB69-4678-803B-BFD679E45C80}
-10344199.2621,5072722.0002,450008,20171008798,1706882,20171008798,56,M,IA,77,-77.0,1,77,1,1,99,77,1,1,2010,HOND,CIVIC LX,PC,IA,1,16,33,77,77,77,33,30,2,28,6,2,4,71,2,8,12,,0,2017,506392,4584063,,,,,,,2024/08/09 13:53:33+00,,{334FA9D6-43EC-4F03-AEBE-6B80535FF8EA}
-10346179.3715,5073310.481,450009,20171008799,1706883,20171008799,81,M,IA,1,-77.0,1,77,1,1,7,8,2,1,2008,FORD,XPL,SW,IA,1,1,33,77,77,77,33,35,1,28,12,5,5,23,2,8,13,,0,2017,504905,4584502,,,,,,,2024/08/09 13:53:33+00,,{6CC12AF6-E344-4032-9989-A2CB51A3AA79}
-10346179.3715,5073310.481,450010,20171008799,1706884,20171008799,38,M,IA,77,-77.0,1,77,1,1,88,77,2,1,2011,CHEV,SLV,PK,IA,2,11,33,77,77,77,33,35,1,28,6,3,5,23,2,8,13,,0,2017,504905,4584502,,,,,,,2024/08/09 13:53:33+00,,{1C7402B2-9948-40D6-8BC1-492B745DD0F5}
