X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10204225.4208,5120183.863,1285758,20241406321,2381528,20241406321,24,F,IA,77,-77.0,1,77,1,1,5,6,3,1,2021,Jeep,CHEROKEE,MULTI PURPOS,ND,1,14,11,62,44,77,62,55,7,23,12,4,5,20,5,8,1,,0,2024,610941,4620334,,,,,,,2024/08/12 09:48:29+00,,{51A65811-23C5-47AC-B2B2-4D5682EA1A35}
-10375936.7141,5334439.2145,1285759,20241406322,2381529,20241406322,30,M,IA,77,-77.0,1,77,1,1,88,77,3,1,2015,FORD,EDG,SW,IA,2,11,33,77,77,77,33,35,2,28,9,3,5,20,3,8,12,,0,2024,483037,4777208,,,,,,,2024/08/12 09:48:29+00,,{CF9C378D-787B-4B7C-940B-90D8FE20D35D}
-10375936.7141,5334439.2145,1285760,20241406322,2381530,20241406322,31,F,IA,1,-77.0,1,77,1,1,88,77,1,1,2004,TOYT,CAM,4D,IA,2,11,33,77,77,77,33,35,2,28,3,3,5,20,3,8,12,,0,2024,483037,4777208,,,,,,,2024/08/12 09:48:29+00,,{330CD854-7A04-484B-9F61-569353EF9CDC}
-10375936.7141,5334439.2145,1285761,20241406322,2381531,20241406322,22,M,IA,1,-77.0,1,77,1,1,5,6,1,1,2008,PONT,G6,4D,IA,1,1,33,6,77,77,33,35,2,28,11,3,5,20,3,8,12,,0,2024,483037,4777208,,,,,,,2024/08/12 09:48:29+00,,{10775364-CA69-4F5C-9AFD-98AC36CAA2CC}
-10265772.1484,5268631.3465,1285762,20241406325,2381536,20241406325,69,M,IA,77,-77.0,1,77,1,1,88,77,1,1,2010,FORD,FOC,4D,IA,1,1,33,77,77,77,33,55,4,28,7,2,5,24,3,8,12,,0,2024,563952,4729418,,,,,,,2024/08/12 09:48:29+00,,{254F36B2-D478-46F7-BBDE-D0AB23EAC9D7}
-10265772.1484,5268631.3465,1285763,20241406325,2381537,20241406325,28,F,IA,77,-77.0,1,77,1,1,7,77,1,1,2014,KIA,SOL,SW,IA,1,10,33,77,77,77,33,55,4,28,1,4,5,24,3,8,12,,0,2024,563952,4729418,,,,,,,2024/08/12 09:48:29+00,,{1A42A0E8-5758-4FD3-A7A5-F2D592A20D0F}
-10290586.2089,5237055.0037,1285764,20241406326,2381538,20241406326,22,M,IA,1,-77.0,1,77,1,1,8,77,6,1,2018,GMC,NR,CV,IA,2,1,35,72,77,77,35,25,1,28,2,2,5,23,1,8,1,,0,2024,545852,4706092,,,,,,,2024/08/12 09:48:29+00,,{0727EAFC-7DC8-4C78-B4EE-16EA911A020F}
-10290586.2089,5237055.0037,1285765,20241406326,2381539,20241406326,200,NR,XX,77,-77.0,77,77,1,1,88,77,2,1,2014,TOYT,TUN,PK,IA,0,12,33,77,77,77,33,25,1,28,8,3,5,23,1,8,1,,0,2024,545852,4706092,,,,,,,2024/08/12 09:48:29+00,,{5B92F07D-7B78-4855-9C00-ABD099F385CC}
-10523444.164,5241445.9352,1285766,20241406327,2381540,20241406327,47,M,IA,77,-77.0,1,77,1,1,88,77,2,1,2020,GMC,SRA,PK,IA,1,11,98,77,77,77,98,30,4,28,9,2,5,45,3,8,12,,0,2024,374050,4710309,,,,,,,2024/08/12 09:48:29+00,,{BF0D0733-C6EE-445E-8CEC-6C1197D660A7}
-10523444.164,5241445.9352,1285767,20241406327,2381541,20241406327,18,M,IA,77,-77.0,1,77,1,1,6,77,2,1,2002,Ford,F150,TRUCK,IA,1,3,11,33,77,77,33,30,1,28,12,2,5,45,3,8,12,,0,2024,374050,4710309,,,,,,,2024/08/12 09:48:29+00,,{08C8FC66-4C5F-49E2-B281-BB63C73200F8}
-10093938.9966,5239114.3902,1285768,20241406328,2381542,20241406328,58,M,IA,1,-77.0,1,77,1,1,11,77,1,1,2000,Chevrolet,MALIBU,4D,IA,1,2,33,77,77,77,33,25,1,28,11,2,5,30,1,8,13,,0,2024,690949,4710074,,,,,,,2024/08/12 09:48:29+00,,{C8B8D93E-869F-4634-8A59-05C243CE96C6}
-10093938.9966,5239114.3902,1285769,20241406328,2381543,20241406328,42,F,IA,77,-77.0,1,77,1,1,88,77,3,1,2016,Ford,XPL,SW,IA,1,1,33,77,77,77,33,25,1,28,11,2,5,30,1,8,13,,0,2024,690949,4710074,,,,,,,2024/08/12 09:48:29+00,,{52FBB47D-17F0-4A08-816E-31624F460661}
