X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10108984.1113,5234625.3754,400001,20170979418,1654971,20170979418,53,F,IA,77,-77.0,1,77,1,1,88,77,1,1,2002,BUIC,CENTURY,PC,IA,1,1,33,77,77,77,33,45,1,28,1,4,4,9,1,8,13,,0,2017,679932,4706477,,,,,,,2024/08/09 13:53:33+00,,{9933ED51-9030-4F99-AB0C-EF1182503FBA}
-10097424.051,5234956.2334,400002,20170979419,1654972,20170979419,68,F,IA,1,-77.0,1,77,1,1,6,77,3,1,2016,Honda,CRV,SW,IA,1,1,33,77,77,77,33,45,2,28,77,1,4,45,1,8,1,,0,2017,688460,4706946,,,,,,,2024/08/09 13:53:33+00,,{ED06B37B-31E6-4167-A622-47B5A62635AB}
-10097424.051,5234956.2334,400003,20170979419,1654973,20170979419,55,F,WI,77,-77.0,1,77,1,1,88,77,1,1,2007,Ford,500,NR,WI,2,1,33,77,77,77,33,45,2,28,6,2,4,45,1,8,1,,0,2017,688460,4706946,,,,,,,2024/08/09 13:53:33+00,,{4BE0C2C4-C1D4-491E-87B7-1FB56549C7C7}
-10096459.7169,5232749.6161,400004,20170979420,1654974,20170979420,17,F,IA,1,-77.0,1,77,1,1,6,98,1,1,2016,FORD,FUS,4D,IA,1,1,33,77,77,77,33,25,4,28,12,3,5,40,1,8,1,,0,2017,689216,4705342,,,,,,,2024/08/09 13:53:33+00,,{CF3286E0-18D4-41FA-B592-2044919A55F9}
-10096459.7169,5232749.6161,400005,20170979420,1654975,20170979420,70,M,IA,77,-77.0,1,77,1,1,88,77,4,1,2009,Toyota,SIENNA,MV,IA,1,11,33,77,77,77,33,25,4,28,7,3,5,40,1,8,1,,0,2017,689216,4705342,,,,,,,2024/08/09 13:53:33+00,,{F91448F7-4E4C-4607-9C30-6B266295F6EA}
-10099072.9477,5238076.5658,400006,20170979421,1654976,20170979421,47,F,IA,1,-77.0,1,77,1,1,44,77,1,1,2006,STRN,VUE,SW,IA,1,7,33,77,77,77,33,30,1,28,11,3,5,10,1,8,5,,0,2017,687181,4709208,,,,,,,2024/08/09 13:53:33+00,,{130DD368-45A4-4DE2-A81D-74E94D740CD5}
-10099072.9477,5238076.5658,400007,20170979421,1654977,20170979421,31,NR,IL,77,-77.0,1,77,1,1,88,77,2,1,1981,Volkswagen,RABBIT,TK,IL,1,1,33,77,77,77,33,30,1,28,4,2,5,10,1,8,5,,0,2017,687181,4709208,,,,,,,2024/08/09 13:53:33+00,,{ADD46B0A-64C3-4C7C-B243-62B2D3526A83}
-10092365.5568,5236704.6766,400008,20170979422,1654978,20170979422,60,NR,WI,1,-77.0,1,77,1,18,11,77,13,2,2001,Peterbilt,NR,TR,WI,1,3,33,77,77,77,33,25,2,28,3,2,5,30,1,8,1,,0,2017,692159,4708334,,,,,,,2024/08/09 13:53:33+00,,{D6C9B47F-65E2-47BA-9534-A0F810423EEE}
-10092365.5568,5236704.6766,400009,20170979422,1654979,20170979422,47,M,IA,77,-77.0,1,77,1,1,88,77,3,1,2016,JEEP,CHK,SW,IA,2,3,33,77,77,77,33,25,2,28,9,3,5,30,1,8,1,,0,2017,692159,4708334,,,,,,,2024/08/09 13:53:33+00,,{D9E43195-0175-4530-ADA8-FB8FC00F2905}
-10099056.699,5236508.2348,400010,20170979423,1654980,20170979423,22,F,IA,1,-77.0,1,77,1,1,6,77,1,1,2004,TOYT,MTX,4D,IA,1,1,33,77,77,77,33,35,1,28,12,5,5,45,1,8,1,,0,2017,687224,4708055,,,,,,,2024/08/09 13:53:33+00,,{D0EB06C0-9FE5-40AF-AA0A-3E0A89F7751A}
