X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10436929.1831,5098967.1547,1083348,20221285224,2173626,20221285224,81,M,IA,77,-77.0,1,77,1,1,88,77,1,1,2012,HOND,ACC,4D,IA,1,1,33,77,77,77,33,35,2,28,10,4,3,9,1,8,12,,0,2022,436940,4603941,,,,,,,2024/08/10 09:19:55+00,,{6F55093F-A3E4-4539-8DBC-61A4B99FD7F9}
-10436929.1831,5098967.1547,1083349,20221285224,2173627,20221285224,16,F,IA,77,-77.0,1,77,1,1,42,77,3,1,2014,TOYT,HGH,SW,IA,1,2,33,77,77,77,33,35,2,28,12,4,3,9,1,8,12,,0,2022,436940,4603941,,,,,,,2024/08/10 09:19:55+00,,{5102CD91-4BEA-4F58-AD45-0F268C17EA49}
-10404291.9022,5115606.2684,1083350,20221285225,2173628,20221285225,34,F,IA,77,-77.0,1,77,1,1,98,77,3,1,2013,KIA,SOR,SW,IA,1,1,33,77,77,77,33,35,1,28,12,4,4,70,1,8,1,,0,2022,461445,4616171,,,,,,,2024/08/10 09:19:55+00,,{6B43C673-CD08-4186-AC0F-4C1A2EBDF246}
-10404291.9022,5115606.2684,1083351,20221285225,2173629,20221285225,200,NR,XX,77,-77.0,77,77,1,1,88,77,1,1,2015,FORD,FOC,SD,IA,1,12,33,35,77,77,35,35,1,28,6,5,4,70,1,8,1,,0,2022,461445,4616171,,,,,,,2024/08/10 09:19:55+00,,{9A104B77-8942-4CA9-991D-3D024E44E47D}
-10439351.6947,5109960.1372,1083352,20221285226,2173630,20221285226,64,M,IA,1,-77.0,1,77,1,1,1,77,2,1,2018,CHEV,SLV,PK,IA,1,1,33,77,77,77,33,35,2,28,98,2,5,2,1,8,12,,0,2022,435200,4612153,,,,,,,2024/08/10 09:19:55+00,,{FF610C20-5372-4AFA-B8E3-9E62A62569A6}
-10439351.6947,5109960.1372,1083353,20221285226,2173631,20221285226,41,M,IA,77,-77.0,1,77,1,1,88,77,2,1,2017,RAM,150,PK,IA,1,1,33,77,77,77,33,35,2,28,12,4,5,2,1,8,12,,0,2022,435200,4612153,,,,,,,2024/08/10 09:19:55+00,,{6097880B-2838-4782-AA70-43D22645C757}
-10277668.351,5233458.401,1083354,20221285227,2173632,20221285227,200,NR,XX,77,-77.0,77,77,1,1,88,77,3,1,2018,Chevrolet,EQX,UT,IA,2,12,33,77,77,77,33,25,99,28,7,2,5,70,4,8,12,,0,2022,555407,4703516,,,,,,,2024/08/10 09:19:55+00,,{4121E168-7A7D-4FAE-8E65-C1B369BF446D}
-10277668.351,5233458.401,1083355,20221285227,2173633,20221285227,200,NR,XX,77,-77.0,77,77,99,99,98,77,2,1,7777,NR,NR,NR,XX,1,77,35,72,77,77,35,777,77,28,1,9,5,70,4,8,12,,0,2022,555407,4703516,,,,,,,2024/08/10 09:19:55+00,,{CC0D4DF4-2F52-448A-9B1F-554B2AB25ACD}
-10275706.0413,5234929.8181,1083356,20221285228,2173634,20221285228,66,M,IA,77,-77.0,1,77,1,1,88,77,1,1,2007,TOYT,RAV 4,SUV,IA,1,11,33,99,77,77,33,25,2,28,5,2,5,45,1,8,3,,0,2022,556847,4704611,,,,,,,2024/08/10 09:19:55+00,,{6A131953-6018-43A7-8AB5-334B18F60F75}
-10275706.0413,5234929.8181,1083357,20221285228,2173635,20221285228,52,F,IA,1,-77.0,1,77,1,1,6,77,3,1,2009,Hyundai,SFE,SW,IA,1,10,33,77,77,77,33,25,1,28,12,2,5,45,1,8,3,,0,2022,556847,4704611,,,,,,,2024/08/10 09:19:55+00,,{AC0C72AD-E19F-451D-98A4-B57ED1A5922A}
