X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10342461.1301,5166938.7146,550001,20160948644,1602398,20160948644,48.0,F,IA,77.0,-77.0,1.0,77.0,1.0,1.0,88.0,77.0,2,1,1997,CHEV,C35,PK,IA,1,1,33,33,77,77,33,35,1,28,6,4,3,36,1,8,1,,0,2016,507622,4654197,,,,,,,2024/08/09 13:53:33+00,,{49A2AC06-7C0E-4B4C-AF1D-28EAFF534C64}
-10342461.1301,5166938.7146,550002,20160948644,1602399,20160948644,28.0,M,IA,1.0,-77.0,1.0,77.0,1.0,1.0,98.0,77.0,1,1,2003,Dodge,INT,4D,IA,2,1,33,77,77,77,33,35,1,28,12,5,3,36,1,8,1,,0,2016,507622,4654197,,,,,,,2024/08/09 13:53:33+00,,{EB4B02ED-9C11-48EE-B19F-1266582F3368}
-10342456.0514,5166657.9154,550003,20160948645,1602400,20160948645,73.0,M,IA,77.0,-77.0,1.0,77.0,4.0,1.0,98.0,77.0,2,1,2012,TOYT,TAC,PK,IA,1,3,3,61,97,77,97,35,2,27,12,2,5,44,1,8,12,,0,2016,507626,4653988,,,,,,,2024/08/09 13:53:33+00,,{6344BF80-F669-4048-B18B-4B7A4C84AD35}
-10250320.7746,5373750.1452,550004,20160948646,1602401,20160948646,16.0,M,IA,77.0,-77.0,1.0,77.0,1.0,15.0,98.0,77.0,1,1,2004,Mazda,MZ3,4D,IA,1,1,33,77,77,77,33,55,1,28,10,2,5,70,10,8,1,,0,2016,574478,4806150,,,,,,,2024/08/09 13:53:33+00,,{BAA6B45E-A1A6-404C-8B83-6B983BE79C02}
-10250320.7746,5373750.1452,550005,20160948646,1602402,20160948646,45.0,F,IA,77.0,-77.0,1.0,77.0,1.0,15.0,98.0,77.0,3,1,2006,Dodge,CVN,VN,IA,1,1,33,77,77,77,33,55,1,28,10,2,5,70,10,8,1,,0,2016,574478,4806150,,,,,,,2024/08/09 13:53:33+00,,{CEC274AC-B1AF-4A62-AB93-881E8033F114}
-10226772.4857,5333040.6185,550006,20160948647,1602403,20160948647,25.0,F,IA,77.0,-77.0,1.0,77.0,77.0,77.0,88.0,77.0,3,1,2000,Oldsmobile,BRAVADA,UT,IA,4,1,31,77,77,77,31,777,77,28,77,77,5,1,77,8,77,,0,2016,592007,4776790,,,,,,,2024/08/09 13:53:33+00,,{37A90843-E94C-4754-993D-9C39926E3D3D}
-10143187.4583,5231476.3688,550007,20160948648,1602404,20160948648,36.0,M,IA,1.0,-77.0,1.0,77.0,1.0,1.0,6.0,77.0,13,2,2005,Internationa,EAGLE,TR,IA,1,1,1,20,77,77,20,65,1,28,98,4,3,41,1,8,1,,0,2016,654732,4703554,,,,,,,2024/08/09 13:53:33+00,,{FC317672-EA1F-4D2D-A515-1D153A2A6AEB}
-10419866.1438,5164395.8018,550008,20160948649,1602405,20160948649,22.0,M,IA,77.0,-77.0,1.0,77.0,1.0,1.0,99.0,77.0,1,1,2006,HYUN,ELANTRA,4DR,IA,1,2,33,77,77,77,33,35,1,28,6,3,4,28,1,8,1,,0,2016,450058,4652484,,,,,,,2024/08/09 13:53:33+00,,{6FB1C24C-AC64-461A-88E7-CFAF45E62FDF}
-10419866.1438,5164395.8018,550009,20160948649,1602406,20160948649,21.0,F,IA,77.0,-77.0,1.0,77.0,1.0,1.0,33.0,99.0,1,1,2015,CHEV,MALIBU,4DR,IA,1,1,33,77,77,77,33,35,1,28,12,4,4,28,1,8,1,,0,2016,450058,4652484,,,,,,,2024/08/09 13:53:33+00,,{9D7A84C3-34F5-4E62-B940-940B11C5F4E2}
-10432115.7752,5099903.8064,550010,20160948313,1601861,20160948313,21.0,M,IA,1.0,-77.0,1.0,77.0,1.0,1.0,7.0,77.0,3,1,2005,CHEV,TRAILBLAZER,MV,IA,1,1,33,77,77,77,33,35,1,28,12,2,5,24,1,8,1,,0,2016,440550,4604609,,,,,,,2024/08/09 13:53:33+00,,{9F6D3AC2-BC69-43DC-85CA-AB25A82EC255}
