X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10416289.2441,5143933.2376,350001,20181071412,1814791,20181071412,22,F,IA,77,-77.0,1,77,1,1,5,77,1,1,2005,CHEV,IMP,4D,IA,1,1,11,3,52,77,3,70,1,13,12,5,4,20,2,8,1,,0,2018,452617,4637288,,,,,,,2024/08/09 13:53:33+00,,{A74E19F2-9F02-4A40-9E15-6ADE1272B155}
-10426114.3461,5171542.9897,350002,20181071413,1814792,20181071413,93,M,IA,77,-77.0,1,77,1,1,42,77,1,1,2018,Ford,FOC,4D,IA,2,2,33,4,77,77,4,55,1,28,10,2,5,9,2,8,13,,0,2018,445452,4657812,,,,,,,2024/08/09 13:53:33+00,,{8982A8B4-87ED-4618-9110-4E0D5278223F}
-10426114.3461,5171542.9897,350003,20181071413,1814793,20181071413,17,M,IA,77,-77.0,1,77,1,1,88,77,1,1,1999,MERC,SAB,4D,IA,3,1,33,77,77,77,33,55,1,28,8,3,5,9,2,8,13,,0,2018,445452,4657812,,,,,,,2024/08/09 13:53:33+00,,{EF2A3EDA-E05C-452A-B07E-CEE7BDAB3D9A}
-10426274.5666,5164388.7897,350004,20181071414,1814794,20181071414,16,F,IA,77,-77.0,1,77,1,1,7,77,1,1,2012,TOYT,CAM,SD,IA,2,1,33,77,77,77,33,35,1,28,1,4,5,24,2,8,1,,0,2018,445292,4652514,,,,,,,2024/08/09 13:53:33+00,,{98587182-2A2D-4F44-98FF-5F742B13F238}
-10426274.5666,5164388.7897,350005,20181071414,1814795,20181071414,50,M,IA,77,-77.0,1,77,1,1,88,77,1,1,2002,Cadillac,DEV,4D,IA,4,1,33,77,77,77,33,35,1,28,6,3,5,24,2,8,1,,0,2018,445292,4652514,,,,,,,2024/08/09 13:53:33+00,,{2409D611-B2EF-4B8B-93B5-CBC1379CE707}
-10420653.0782,5164063.5983,350006,20181071415,1814796,20181071415,42,F,IA,1,-77.0,1,77,1,1,97,77,3,1,2003,HOND,PLT,SW,IA,1,10,33,77,77,77,33,35,2,28,12,2,5,13,1,8,12,,0,2018,449471,4652243,,,,,,,2024/08/09 13:53:33+00,,{B20A3962-6211-44AC-92BD-A5219A3548D2}
-10420653.0782,5164063.5983,350007,20181071415,1814797,20181071415,30,F,IA,77,-77.0,1,77,1,1,88,77,6,1,2016,FORD,TCN,VN,IA,1,11,33,77,77,77,33,35,2,28,6,2,5,13,1,8,12,,0,2018,449471,4652243,,,,,,,2024/08/09 13:53:33+00,,{61D1A0E2-CD07-45E7-B622-BF015B18C42C}
-10423098.1583,5163419.6004,350008,20181071416,1814798,20181071416,26,M,IA,1,-77.0,1,77,1,1,42,77,1,1,2009,TOYT,CAM,4D,IA,1,2,33,77,77,77,33,35,2,28,12,4,5,9,1,8,12,,0,2018,447649,4651779,,,,,,,2024/08/09 13:53:33+00,,{096042CF-205C-4A2D-9ECA-645B6F91DC15}
-10423098.1583,5163419.6004,350009,20181071416,1814799,20181071416,33,F,IA,77,-77.0,1,77,1,1,88,77,1,1,2001,SUZI,GVT,SW,IA,1,1,33,77,77,77,33,35,2,28,1,3,5,9,1,8,12,,0,2018,447649,4651779,,,,,,,2024/08/09 13:53:33+00,,{DF354169-C877-4124-A925-D43E35F12BD1}
-10428397.2297,5162797.224,350010,20181071417,1814800,20181071417,21,F,IA,1,-77.0,1,77,1,10,7,77,1,1,2015,Toyota,COROLLA,4D,IA,1,1,33,77,77,77,33,40,1,28,1,4,5,24,1,8,1,,0,2018,443704,4651347,,,,,,,2024/08/09 13:53:33+00,,{52EE2D34-06AB-4001-9FD4-C619220E6C57}
