X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10076368.5551,5094594.4557,1133348,20221329670,2250541,20221329670,53,F,IA,77,-77.0,1,77,1,1,88,77,4,1,2016,CHRY,TOWN + COUNT,VN,IA,1,11,33,77,77,77,33,35,2,28,12,2,5,35,2,8,1,,0,2022,707023,4603378,,,,,,,2024/08/10 09:19:55+00,,{662A9F8C-A495-4DEB-AAF0-CF8CB2F28412}
-10172142.1294,5146933.6422,1133349,20221329671,2250542,20221329671,63,F,IA,77,-77.0,1,77,77,77,88,77,3,1,2017,LINC,MKC,UT,IA,1,77,77,77,77,77,77,777,77,28,77,77,5,1,77,8,77,,0,2022,634537,4640630,,,,,,,2024/08/10 09:19:55+00,,{AAD883A8-9268-480E-AB54-306619253108}
-10637132.6565,5211212.579,1133350,20221329672,2250543,20221329672,19,M,IA,77,-77.0,1,77,77,77,88,77,1,1,2014,DODG,CHA,4D,IA,1,77,77,77,77,77,77,777,77,28,77,77,5,1,77,8,77,,0,2022,289507,4690075,,,,,,,2024/08/10 09:19:55+00,,{54F658A0-D5AF-4FD7-B1B9-F20D61F105F1}
-10421748.644,5109973.2946,1133351,20221329673,2250544,20221329673,60,F,IA,1,-77.0,1,77,1,1,7,77,1,1,2015,NISS,ALTIMA 2.5,SD,IA,4,1,33,77,77,77,33,45,2,28,12,2,5,24,1,8,12,,0,2022,448367,4612056,,,,,,,2024/08/10 09:19:55+00,,{7D620F9F-1673-402C-9FFF-2886E6A2829A}
-10421748.644,5109973.2946,1133352,20221329673,2250545,20221329673,25,M,IA,77,-77.0,1,77,1,1,88,77,1,1,2010,CHEV,IMP,4D,IA,1,11,33,77,77,77,33,45,2,28,6,2,5,24,1,8,12,,0,2022,448367,4612056,,,,,,,2024/08/10 09:19:55+00,,{88C08635-6FB7-4EAA-97D3-83D927B8E13F}
-10630873.2987,5287761.9224,1133353,20221329674,2250546,20221329674,27,M,IA,1,-77.0,1,77,1,1,6,16,1,1,2005,PONT,GRAND PRIX,4D,IA,1,14,1,3,11,20,20,50,1,28,11,5,5,42,10,8,1,,0,2022,295800,4746159,,,,,,,2024/08/10 09:19:55+00,,{9C38227D-53AC-4D21-B654-E43E2F77FA3E}
-10134889.6083,5074880.2539,1133354,20221329675,2250547,20221329675,42,M,IA,1,-77.0,1,77,1,1,6,77,3,1,2007,TOYT,HIGHLANDER,LL,IA,1,1,33,77,77,77,33,25,1,28,1,3,5,39,1,8,1,,0,2022,663513,4587522,,,,,,,2024/08/10 09:19:55+00,,{653BA84F-0AAB-4098-8158-97CC62C40CA0}
-10134889.6083,5074880.2539,1133355,20221329675,2250548,20221329675,200,NR,XX,77,-77.0,77,77,77,77,88,77,3,1,2021,Chevrolet,TAHOE,UT,IA,0,12,35,77,77,77,35,25,1,28,7,3,5,39,1,8,1,,0,2022,663513,4587522,,,,,,,2024/08/10 09:19:55+00,,{136091A8-B658-4163-A58B-E20E74C2D785}
-10588609.896,5011924.6699,1133356,20221329676,2250549,20221329676,37,F,IA,77,-77.0,1,77,77,77,88,77,1,1,2015,FORD,ESCAPE SE,4D,IA,1,77,77,77,77,77,77,777,77,28,77,77,5,1,77,8,77,,0,2022,321767,4540607,,,,,,,2024/08/10 09:19:55+00,,{45B9C6E6-E246-40F8-8F52-E111F65B3B41}
-10103620.2912,5079913.4175,1133357,20221329677,2250550,20221329677,53,F,IA,77,-77.0,1,77,77,77,88,77,1,1,2020,TOYT,PRI,4DR,IA,2,77,77,77,77,77,77,777,77,28,77,77,5,1,77,8,77,,0,2022,686890,4591854,,,,,,,2024/08/10 09:19:55+00,,{BDA77C4C-985A-4B8F-AEA7-B6CD4D46E3FC}
-10205546.1554,5167051.7009,1133358,20221329678,2250551,20221329678,16,M,IA,77,-77.0,1,77,1,1,18,77,1,1,2013,MITS,OUTLANDER SP,4D,IA,1,1,13,3,13,13,13,60,1,28,9,4,5,1,1,8,1,,0,2022,609418,4655121,,,,,,,2024/08/10 09:19:55+00,,{6BD23558-B779-4582-8092-0E2FC344A5A9}
-10419156.5513,5090449.5758,1133359,20221329679,2250552,20221329679,61,M,IA,77,-77.0,1,77,1,1,42,77,2,1,1997,FORD,F15,3D,IA,1,2,33,77,77,77,33,40,4,28,11,2,5,9,1,8,12,,0,2022,450204,4597480,,,,,,,2024/08/10 09:19:55+00,,{6506C809-4988-4AC1-80B2-D28E0B05A7B4}
-10419156.5513,5090449.5758,1133360,20221329679,2250553,20221329679,56,F,IA,77,-77.0,1,77,1,1,88,77,3,1,2015,HYUN,SFE,UT,IA,1,2,33,77,77,77,33,40,4,28,11,3,5,9,1,8,12,,0,2022,450204,4597480,,,,,,,2024/08/10 09:19:55+00,,{96808F00-D202-4C6E-9E66-B76CB761EB18}
-10409327.989,5105015.4421,1133361,20221329680,2250554,20221329680,200,M,XX,77,-77.0,77,77,99,99,99,77,1,1,7777,NR,NR,NR,XX,1,9,35,72,77,77,35,15,1,28,99,9,5,71,1,8,1,,0,2022,457634,4608300,,,,,,,2024/08/10 09:19:55+00,,{49053D11-415B-4291-B879-BBD883C4FBD6}
-10409327.989,5105015.4421,1133362,20221329680,2250555,20221329680,200,NR,XX,77,-77.0,77,77,1,1,88,77,2,1,2020,RAM,3500 TRADESM,PK,IA,1,12,35,77,77,77,35,15,1,28,98,3,5,71,1,8,1,,0,2022,457634,4608300,,,,,,,2024/08/10 09:19:55+00,,{566CB1C3-78B7-463B-8B1F-075750DA6F25}
-10422374.6279,5102244.311,1133363,20221329681,2250556,20221329681,43,M,IA,77,-77.0,1,77,1,1,44,77,2,1,2014,RAM,RTR,PK,IA,3,9,33,77,77,77,33,30,1,28,6,2,5,10,1,8,5,,0,2022,447856,4606298,,,,,,,2024/08/10 09:19:55+00,,{FAE24BDC-D3A1-4A6F-95FF-5A9FB9E31F78}
-10422374.6279,5102244.311,1133364,20221329681,2250557,20221329681,31,M,IA,77,-77.0,1,77,1,1,88,77,2,1,1999,GMC,SON,PK,IA,1,1,33,77,77,77,33,30,1,28,4,4,5,10,1,8,5,,0,2022,447856,4606298,,,,,,,2024/08/10 09:19:55+00,,{D5A6E82E-CCF8-48A3-AF91-D0FF83E74BDA}
