X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10419151.6578,5094586.4213,100001,20201161352,1969490,20201161352,24,F,IA,77,-77.0,1,77,1,1,6,77,4,1,2010,Chrysler,TNC,VN,IA,1,3,33,77,77,77,33,25,2,28,12,4,5,45,4,8,12,,0,2020,450229,4600569,,,,,,,2024/08/09 13:53:33+00,,{732DF6A3-6EA7-4789-A4FD-5FE8394DCB18}
-10419151.6578,5094586.4213,100002,20201161352,1969491,20201161352,42,M,IA,77,-77.0,1,77,1,1,88,77,2,1,2007,CHEV,SLV,PK,IA,1,11,33,77,77,77,33,25,2,28,10,3,5,45,4,8,12,,0,2020,450229,4600569,,,,,,,2024/08/09 13:53:33+00,,{8B3D671D-5BD1-4BC1-9010-BE91505DAF03}
-10422365.2152,5095023.1967,100003,20201161353,1969492,20201161353,26,NR,IA,77,-77.0,1,77,1,1,5,77,3,1,2005,Chevrolet,TAH,SW,IA,4,1,33,77,77,77,33,35,2,28,12,4,5,20,4,8,12,,0,2020,447824,4600911,,,,,,,2024/08/09 13:53:33+00,,{A3169CB5-BB5A-444D-8CDF-D84AB9DBE536}
-10422365.2152,5095023.1967,100004,20201161353,1969493,20201161353,59,M,IA,77,-77.0,1,77,1,1,88,77,22,20,2015,THMS,NR,BU,XX,3,11,33,77,77,77,33,35,2,28,6,2,5,20,4,8,12,,0,2020,447824,4600911,,,,,,,2024/08/09 13:53:33+00,,{97716FBA-0043-4D24-A9E1-0FF96D3FA77D}
-10731914.4812,5235620.5356,100005,20201167785,1980683,20201167785,25,M,IA,77,-77.0,1,77,1,1,88,77,3,1,2011,CHEV,EQX,SW,IA,2,1,33,77,77,77,33,30,2,28,2,3,4,22,1,8,12,,0,2020,220076,4710511,,,,,,,2024/08/09 13:53:33+00,,{2A172510-ACF5-4E04-9D14-D9CE8FDF10E1}
-10732641.294,5234897.8669,100006,20201167786,1980684,20201167786,20,M,NE,1,-77.0,1,77,1,1,7,77,1,1,2016,Hyundai,SONATA SPORT,4D,IA,1,10,33,77,77,77,33,45,2,28,1,2,5,24,1,8,18,,0,2020,219518,4710001,,,,,,,2024/08/09 13:53:33+00,,{87CB2773-83CE-4202-A579-68FBFC3C48C0}
-10732641.294,5234897.8669,100007,20201167786,1980685,20201167786,51,M,SD,77,-77.0,1,77,1,1,88,77,3,1,2005,Porsche,CAYENNE,SUV,SD,1,10,33,77,77,77,33,45,2,28,5,2,5,24,1,8,18,,0,2020,219518,4710001,,,,,,,2024/08/09 13:53:33+00,,{BE407122-C0B3-42B3-83BA-910780FA1CC3}
-10728403.2402,5229981.3635,100008,20201167787,1980686,20201167787,27,F,IA,1,-77.0,1,77,1,1,98,77,3,1,2005,PONT,VIBE,SUV,IA,1,1,1,54,77,77,54,30,1,15,1,5,5,42,1,8,1,,0,2020,222503,4706258,,,,,,,2024/08/09 13:53:33+00,,{8772FA70-3C58-48DB-9BFC-52A01015D6CB}
-10725099.3364,5229099.2523,100009,20201167788,1980687,20201167788,65,M,IA,1,-77.0,1,77,1,8,98,77,3,1,2003,Jeep,LBY,UT,IA,1,1,33,77,77,77,33,35,1,28,1,5,3,70,2,8,13,,0,2020,224918,4705512,,,,,,,2024/08/09 13:53:33+00,,{6E022101-AAF4-4471-A8D9-C492204C7F56}
-10725099.3364,5229099.2523,100010,20201167788,1980688,20201167788,58,M,IA,77,-77.0,1,77,1,1,88,77,9,2,1992,GRUM,MAIL,TK,NO,1,11,33,77,77,77,33,35,1,28,7,4,3,70,2,8,13,,0,2020,224918,4705512,,,,,,,2024/08/09 13:53:33+00,,{FDB98DA8-156F-47B0-8B36-42F444037478}
