X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10288430.7853,5014524.1397,150001,20201193391,2024454,20201193391,80,F,IA,77,-77.0,1,77,1,1,88,77,3,1,2020,CHEV,EQUINOX,SUV,IA,1,1,33,77,77,77,33,45,1,28,6,2,4,20,2,8,1,,0,2020,548554,4540561,,,,,,,2024/08/09 13:53:33+00,,{C06D4F33-3DC6-4DA8-8132-80FC25C68152}
-10287997.8656,5012527.9604,150002,20201193392,2024455,20201193392,200,NR,XX,77,-77.0,77,77,77,77,88,77,2,1,2009,TOYT,TACOMA,TRUCK,IA,777,12,33,77,77,77,33,30,77,28,6,2,3,45,1,8,1,,0,2020,548891,4539060,,,,,,,2024/08/09 13:53:33+00,,{4852D907-5658-43B1-BACE-334D2A39FF4D}
-10287997.8656,5012527.9604,150003,20201193392,2024456,20201193392,30,F,IA,1,-77.0,1,77,3,1,6,77,1,1,2008,PONT,G6,4 DOOR,IA,3,1,35,77,77,77,35,30,1,28,12,5,3,45,1,8,1,,0,2020,548891,4539060,,,,,,,2024/08/09 13:53:33+00,,{0651A2F9-7980-4511-B5A3-A153B7490C57}
-10289477.8772,5012909.7892,150004,20201193393,2024457,20201193393,200,NR,XX,77,-77.0,77,77,99,99,99,77,3,99,7777,NR,NR,NR,XX,1,99,54,72,77,77,54,30,1,15,11,2,5,71,1,8,1,,0,2020,547771,4539340,,,,,,,2024/08/09 13:53:33+00,,{00DE423B-4C2C-4DE9-A9F7-B73E279DC473}
-10677100.8936,5050951.5235,150005,20201193394,2024458,20201193394,27,F,IA,77,-77.0,1,77,1,1,5,6,2,1,2003,GMC,SIER,SI,NE,1,1,6,33,77,77,33,55,98,28,12,3,5,20,1,8,21,,0,2020,255882,4571855,,,,,,,2024/08/09 13:53:33+00,,{1EC7F4BB-0DB9-4D57-BA45-6A438CBF1B07}
-10677100.8936,5050951.5235,150006,20201193394,2024459,20201193394,36,M,IA,77,-77.0,1,77,1,1,9,77,3,1,2019,CHEV,EQX,UT,IA,1,6,6,33,77,77,33,55,98,28,6,4,5,20,1,8,21,,0,2020,255882,4571855,,,,,,,2024/08/09 13:53:33+00,,{BBAFFF6B-93E4-47C0-839E-6D042E4E155C}
-10720817.0224,5234475.3786,150007,20201193395,2024460,20201193395,31,M,IA,77,-77.0,1,77,77,77,88,77,1,1,2017,Honda,ACC,SD,IA,1,77,31,77,77,77,31,777,77,28,77,77,5,1,77,8,1,,0,2020,228236,4709344,,,,,,,2024/08/09 13:53:33+00,,{81D7CF8E-FE41-46F7-98F5-5905686E736D}
-10723548.7253,5212894.6985,150008,20201193396,2024461,20201193396,53,F,SD,77,-77.0,1,77,77,77,88,77,3,1,2020,GMC,YUKON/,UT,SD,2,77,31,77,77,77,31,777,77,28,77,77,5,1,77,8,1,,0,2020,225595,4693529,,,,,,,2024/08/09 13:53:33+00,,{0AA174BC-52C8-47A0-86FE-41E49B7E718F}
-10592070.7056,5340033.8467,150009,20201193397,2024462,20201193397,62,M,IA,77,-77.0,1,77,1,1,88,77,11,3,2007,FREI,COLUMBIA 112,TT,IA,1,11,33,77,77,77,33,55,4,28,6,2,5,30,1,8,7,,0,2020,325263,4783502,,,,,,,2024/08/09 13:53:33+00,,{664C5BE8-7630-4259-AAB3-0BEF6AE1E65E}
-10592070.7056,5340033.8467,150010,20201193397,2024463,20201193397,59,M,SD,77,-77.0,1,77,1,1,11,77,11,2,2006,Freightliner,X,TT,SD,1,2,33,77,77,77,33,55,4,28,9,2,5,30,1,8,7,,0,2020,325263,4783502,,,,,,,2024/08/09 13:53:33+00,,{6C4F8E27-574F-475A-BCED-343127EBA2B2}
-10086690.5459,5095355.8086,150011,20201193398,2024464,20201193398,60,F,IL,1,-77.0,1,77,1,1,11,77,4,1,2010,Chrysler,TOWN AND COU,VN,IL,1,2,33,77,77,77,33,35,2,28,2,2,4,30,1,8,1,,0,2020,699274,4603728,,,,,,,2024/08/09 13:53:33+00,,{030591E9-EF45-4D32-B574-8FC5CCBCAD57}
-10086690.5459,5095355.8086,150012,20201193398,2024465,20201193398,27,M,IA,77,-77.0,1,77,1,1,88,77,17,1,2007,Kawasaki,ZX600P,MC,XX,1,1,33,77,77,77,33,40,2,28,11,4,4,30,1,8,1,,0,2020,699274,4603728,,,,,,,2024/08/09 13:53:33+00,,{9FD6D1D9-9C68-405C-93F7-3C1A32E249B1}
-10322332.2828,5122814.2379,150013,20201193399,2024466,20201193399,32,M,IA,77,-77.0,1,77,1,1,19,77,6,1,2018,Utility,AEROMASTER 2,BOX TRUCK,IA,1,9,34,35,72,77,72,20,1,28,7,1,5,65,1,8,1,,0,2020,522692,4621468,,,,,,,2024/08/09 13:53:33+00,,{76545170-9A7A-4BEE-B1E7-775FE992AD01}
-10322332.2828,5122814.2379,150014,20201193399,2024467,20201193399,200,NR,XX,77,-77.0,77,77,77,77,88,77,1,1,2005,HOND,ACCORD LX,4D,IA,0,12,35,72,77,77,72,777,1,28,5,3,5,65,1,8,1,,0,2020,522692,4621468,,,,,,,2024/08/09 13:53:33+00,,{81ED8CAD-6D4A-4CB4-8EB4-74005FE7442A}
-10320498.6239,5123460.0063,150015,20201193400,2024468,20201193400,17,M,IA,1,-77.0,1,77,1,1,40,77,1,1,2001,Jeep,WRG,SW,IA,1,1,33,77,77,77,33,25,4,28,12,2,5,7,1,8,12,,0,2020,524061,4621953,,,,,,,2024/08/09 13:53:33+00,,{713C8A2C-64A8-4B64-85BC-FF1F64524CCC}
-10320498.6239,5123460.0063,150016,20201193400,2024469,20201193400,47,F,IA,77,-77.0,1,77,1,1,88,77,1,1,2017,JEEP,CHK,UT,IA,1,1,33,77,77,77,33,25,1,28,10,2,5,7,1,8,12,,0,2020,524061,4621953,,,,,,,2024/08/09 13:53:33+00,,{4EAEA1F7-E941-40D4-A00C-5B0D76E4A9CA}
-10406350.3217,5098475.5151,150017,20201193402,2024472,20201193402,52,F,IA,1,-77.0,1,77,1,1,11,40,3,1,2017,Ford,EDG,UT,IA,1,2,33,77,77,77,33,35,4,28,12,3,5,7,1,8,13,,0,2020,459835,4603410,,,,,,,2024/08/09 13:53:33+00,,{12E7AF05-D174-4B19-8963-3EB867FE6A63}
-10406350.3217,5098475.5151,150018,20201193402,2024473,20201193402,28,M,IA,77,-77.0,1,77,1,1,88,77,2,1,2017,Ram,1500 St,PK,IA,1,2,33,77,77,77,33,45,1,28,9,3,5,7,1,8,13,,0,2020,459835,4603410,,,,,,,2024/08/09 13:53:33+00,,{478C995B-DC98-4F39-99FF-87239C0A7F11}
-10284260.4806,5236431.7971,150019,20201202229,2038863,20201202229,64,M,IA,77,-77.0,1,77,1,1,88,77,1,1,2001,HOND,ACCORD,4D,IA,1,1,33,77,77,77,33,25,1,28,9,3,5,3,1,8,13,,0,2020,550524,4705666,,,,,,,2024/08/09 13:53:33+00,,{304A3AEA-6DBD-4D7C-8FBB-1A23E83EA05C}
-10309306.095,5335703.7795,150020,20201202230,2038864,20201202230,60,F,IA,77,-77.0,1,77,77,77,88,77,4,1,2011,CHRY,TOWN & COUNT,VAN,IA,1,77,77,77,77,77,77,777,77,28,77,77,5,1,77,8,77,,0,2020,531702,4778181,,,,,,,2024/08/09 13:53:33+00,,{D4587B3F-1ECB-4F80-8FFA-2506B7C6AFE1}
-10313319.7373,5056002.5613,150021,20201202232,2038866,20201202232,43,M,TX,1,-77.0,1,77,6,1,54,77,2,1,2015,Chevrolet,SILVERADO,PK,TX,1,1,43,33,77,77,33,10,4,4,4,3,5,56,1,7,1,,0,2020,529628,4571604,,,,,,,2024/08/09 13:53:33+00,,{E4009F4F-97DE-4F9D-822A-098723A413F2}
-10313319.7373,5056002.5613,150022,20201202232,2038867,20201202232,200,NR,XX,77,-77.0,77,77,77,77,88,77,1,1,2016,Dodge,CHL,2D,IA,0,12,35,77,77,77,35,777,77,28,7,3,5,56,1,7,1,,0,2020,529628,4571604,,,,,,,2024/08/09 13:53:33+00,,{4296C4F9-CBE0-4B0C-8533-C6549103C72A}
-10197791.872,5163351.557,150023,20201202233,2038868,20201202233,43,M,IA,1,-77.0,1,77,1,1,42,77,2,14,2007,Dodge,RAM 1500 QUA,PK,IA,5,2,33,77,77,77,33,55,2,28,98,5,5,9,2,8,12,,0,2020,615228,4652471,,,,,,,2024/08/09 13:53:33+00,,{C02CF7E0-E408-4BFA-93F9-F5DB9A7A73FA}
-10197791.872,5163351.557,150024,20201202233,2038869,20201202233,16,M,IA,1,-77.0,1,77,1,1,3,77,1,1,2005,CHEV,MALIBU LT,4D,IA,1,1,33,77,77,77,33,55,2,28,12,5,5,9,2,8,12,,0,2020,615228,4652471,,,,,,,2024/08/09 13:53:33+00,,{8B70C50E-95EA-4539-B4FA-40E1B74FE3A4}
-10197791.872,5163351.557,150025,20201202233,2038870,20201202233,64,F,IA,77,-77.0,1,77,1,1,88,77,1,1,2016,FORD,FOCUS SE,4D,IA,1,11,33,38,77,77,38,25,2,28,9,2,5,9,2,8,12,,0,2020,615228,4652471,,,,,,,2024/08/09 13:53:33+00,,{33A40393-32BD-4FD5-A7F3-6A5E1EFF47B3}
-10197791.872,5163351.557,150026,20201202233,2038871,20201202233,67,M,IA,77,-77.0,1,77,1,1,88,77,3,1,2006,CHEV,TRAILBLAZER ,LL,IA,2,11,33,38,77,77,38,25,2,28,12,2,5,9,2,8,12,,0,2020,615228,4652471,,,,,,,2024/08/09 13:53:33+00,,{114D7646-0B76-4F59-9ADB-DFEFF72232B0}
-10084156.9192,5089700.6813,150027,20201202234,2038872,20201202234,23,F,IL,1,0.0,1,77,1,1,8,77,1,1,2020,Honda,SEDAN,4D,IL,1,1,1,35,72,77,35,30,1,28,1,4,5,23,2,8,1,,0,2020,701290,4599559,,,,,,,2024/08/09 13:53:33+00,,{E06CA1BE-C14D-47AF-8965-7716F9CD5A3C}
-10084156.9192,5089700.6813,150028,20201202234,2038873,20201202234,200,NR,XX,77,-77.0,77,77,77,77,88,77,3,1,2006,Saturn,VUE,4W,IA,0,12,33,35,77,77,33,777,1,28,5,2,5,23,2,8,1,,0,2020,701290,4599559,,,,,,,2024/08/09 13:53:33+00,,{B32DA428-0B28-4763-9000-1F07F8724C69}
-10084156.9192,5089700.6813,150029,20201202234,2039507,20201202234,200,NR,XX,77,-77.0,77,77,77,77,88,77,1,1,2007,KIA,Spectra Ex/l,4D,IA,777,12,35,77,77,77,35,777,1,28,7,4,5,23,2,8,1,,0,2020,701290,4599559,,,,,,,2024/08/09 13:53:33+00,,{32BAB400-71FA-48A8-AE40-C1312F531BE0}
-10082168.3229,5092062.1137,150030,20201202235,2038874,20201202235,30,M,IA,77,-77.0,1,77,1,1,6,77,1,1,2002,FORD,FOCUS,4D,IA,3,1,33,77,77,77,33,25,2,28,12,2,5,39,2,8,12,,0,2020,702731,4601365,,,,,,,2024/08/09 13:53:33+00,,{E7F7F7DC-A3C4-43DA-8A2D-3EE6D614FF9A}
-10082168.3229,5092062.1137,150031,20201202235,2038875,20201202235,19,F,IA,77,-77.0,1,77,1,1,88,77,1,1,2009,FORD,FOCUS,4D,IA,2,11,33,77,77,77,33,25,2,28,5,2,5,39,2,8,12,,0,2020,702731,4601365,,,,,,,2024/08/09 13:53:33+00,,{9B26859A-AF68-4C56-AA58-B228AEFB62C4}
-10085665.8198,5092061.1635,150032,20201202236,2038876,20201202236,56,F,IA,77,-77.0,1,77,1,1,47,77,3,1,2012,Honda,PILOT LX,LL,IA,1,1,33,77,77,77,33,35,1,28,12,5,3,5,2,8,1,,0,2020,700110,4601290,,,,,,,2024/08/09 13:53:33+00,,{B1BEB61C-2EFC-4D95-9A1B-04C860413940}
