X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10311470.9602,5115527.5814,50001,20211248742,2111242,20211248742,60,M,IL,77,-77.0,1,77,1,1,88,77,7,2,2018,Ford,ECONOLINE,TR,AZ,2,1,6,1,41,77,41,70,1,2,10,5,3,42,1,8,1,,0,2021,530828,4616074,,,,,,,2024/08/09 13:53:33+00,,{FA7F9FAC-AC6F-4D49-AF58-7AF4B00324B5}
-10188839.5426,5114270.0547,50002,20211248743,2111243,20211248743,72,M,IL,77,-77.0,1,77,1,18,16,50,3,1,2018,Volkswagen,TIGUAN,SUV,IL,1,6,33,77,77,77,33,65,1,28,9,2,5,41,1,8,1,,0,2021,622512,4616118,,,,,,,2024/08/09 13:53:33+00,,{7ECE5C4D-AE0B-4145-9667-0961AD3B481E}
-10188839.5426,5114270.0547,50003,20211248743,2111244,20211248743,40,M,IL,77,-77.0,1,77,1,1,88,77,2,1,2010,Ford,F150,PICKUP,IL,1,1,33,77,77,77,33,65,1,28,3,1,5,41,1,8,1,,0,2021,622512,4616118,,,,,,,2024/08/09 13:53:33+00,,{92A5D155-BBD6-460E-A89E-439939816569}
-10290963.0462,5115868.2213,50004,20211248744,2111245,20211248744,42,M,IA,77,-77.0,1,77,77,77,88,77,3,1,2015,TOYT,RAV,SW,IA,2,77,77,77,77,77,77,777,77,28,77,77,5,1,77,8,77,,0,2021,546156,4616411,,,,,,,2024/08/09 13:53:33+00,,{BE92B774-ACC8-4AA9-8771-8C74BA24AA2B}
-10423590.0989,5196768.2391,50005,20211248745,2111246,20211248745,22,M,IA,77,-77.0,1,77,1,1,7,77,13,9,2012,Volvo,VVN,DS,IA,1,1,33,77,77,77,33,55,1,28,12,4,3,24,1,8,14,,0,2021,447467,4676450,,,,,,,2024/08/09 13:53:33+00,,{CBF162C1-5CA7-47F8-B717-086A42D0CB4E}
-10423590.0989,5196768.2391,50006,20211248745,2111246,20211248745,22,M,IA,77,-77.0,1,77,1,1,7,77,13,9,2012,Volvo,VVN,DS,IA,1,1,33,77,77,77,33,55,1,28,12,4,3,24,1,8,14,,0,2021,447467,4676450,,,,,,,2024/08/09 13:53:33+00,,{D319DA27-0FCE-4CA6-9488-D400B7A558DB}
-10423590.0989,5196768.2391,50007,20211248745,2111247,20211248745,46,M,IA,77,-77.0,1,77,1,1,88,77,13,3,2009,Internationa,999,TR,IA,1,1,33,77,77,77,33,55,1,28,6,2,3,24,1,8,14,,0,2021,447467,4676450,,,,,,,2024/08/09 13:53:33+00,,{15A79FAA-CD5E-4CF8-9E5F-EAB2ED3D601C}
-10423590.0989,5196768.2391,50008,20211248745,2111247,20211248745,46,M,IA,77,-77.0,1,77,1,1,88,77,13,3,2009,Internationa,999,TR,IA,1,1,33,77,77,77,33,55,1,28,6,2,3,24,1,8,14,,0,2021,447467,4676450,,,,,,,2024/08/09 13:53:33+00,,{56111C5B-8ABF-41CC-B8BD-6AA7D5EAD069}
-10203639.7646,5115225.4639,50009,20211248746,2111248,20211248746,61,M,NV,77,-77.0,1,77,1,1,88,77,13,5,1989,Peterbilt,379,CONV,NV,2,1,33,77,77,77,33,55,11,28,98,2,5,13,1,8,20,1.0,0,2021,611436,4616649,,,,,,,2024/08/09 13:53:33+00,,{59A51D5E-883D-4881-BD65-1B4BDAA7A982}
-10203639.7646,5115225.4639,50010,20211248746,2111249,20211248746,73,F,IA,1,-77.0,1,77,1,1,97,77,3,1,2007,TOYO,RAV4 LTD NEW,SUV,IA,1,7,33,77,77,77,33,55,5,28,9,4,5,13,1,8,20,1.0,0,2021,611436,4616649,,,,,,,2024/08/09 13:53:33+00,,{409C48E6-748F-4086-A72A-DEB29E3A0A34}
