X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10422101.6194,5093267.2076,200001,20191109082,1879202,20191109082,41,F,IA,77,-77.0,1,77,1,1,88,77,1,1,2019,Toyota,CORROLLA,LE,XX,1,1,33,77,77,77,33,25,1,28,12,5,2,7,1,8,12,,0,2019,448012,4599599,,,,,,,2024/08/09 13:53:33+00,,{AC4C30CE-8CCF-4520-B9B4-79EC08E3C540}
-10412434.8741,5103922.176,200002,20191109083,1879203,20191109083,56,F,IA,77,0.171,1,77,6,1,6,8,3,1,2008,TOYO,HIGHLANDER/S,LL,IA,1,1,99,33,77,77,33,30,1,28,9,5,5,23,1,3,1,,0,2019,455304,4607499,,,,,,,2024/08/09 13:53:33+00,,{DA9DE9F9-D45B-4390-83A5-CAA4D4242CB1}
-10412434.8741,5103922.176,200003,20191109083,1879204,20191109083,200,NR,XX,77,-77.0,77,77,1,1,88,77,3,1,2006,CHEV,TBZ,SW,IA,0,12,35,77,77,77,35,30,1,28,7,4,5,23,1,3,1,,0,2019,455304,4607499,,,,,,,2024/08/09 13:53:33+00,,{EB78D8C2-2B4F-4CBC-A585-BC370654B9C6}
-10556415.0931,5370832.1801,200004,20191109084,1879205,20191109084,19,F,IA,77,-77.0,1,77,1,1,88,77,1,1,2012,FORD,FOC,4D,IA,1,1,31,77,77,77,31,45,1,28,11,2,5,1,1,8,1,,0,2019,351783,4805250,,,,,,,2024/08/09 13:53:33+00,,{5FE034E3-0027-4BA2-86DC-486A08DC4486}
-10474938.8447,5201188.8054,200005,20191109086,1879208,20191109086,19,F,IA,1,-77.0,1,77,1,1,6,77,1,1,2003,PONT,GRAND PRIX G,4D,IA,1,1,1,3,44,20,20,55,1,5,13,5,3,42,1,8,1,,0,2019,409450,4680101,,,,,,,2024/08/09 13:53:33+00,,{A6A04134-844E-4F68-9046-210490A7C184}
-10591116.2432,5331180.7291,200006,20191109960,1880794,20191109960,56,M,IA,77,-77.0,1,77,1,1,19,77,3,1,2005,Ford,ESCAPE,XLT,IA,1,9,33,77,77,77,33,25,1,28,6,2,5,65,2,8,13,,0,2019,325795,4777041,,,,,,,2024/08/09 13:53:33+00,,{4841DC2C-2D8D-4352-AF06-C4DF207E881D}
-10591116.2432,5331180.7291,200007,20191109960,1880795,20191109960,28,M,IA,77,-77.0,1,77,1,1,88,77,1,1,2002,FORD,ESCORT,4D,IA,1,1,33,77,77,77,33,25,1,28,10,3,5,65,2,8,13,,0,2019,325795,4777041,,,,,,,2024/08/09 13:53:33+00,,{FC7FC1D1-C42D-4674-A792-135DC633E590}
-10408161.8536,4991550.0819,200008,20191109962,1880798,20191109962,200,NR,XX,77,-77.0,77,77,1,1,88,77,2,1,2014,FORD,F150,PK,IA,0,12,35,77,77,77,35,25,1,28,8,2,5,65,1,8,1,,0,2019,458019,4523212,,,,,,,2024/08/09 13:53:33+00,,{54465221-83A2-4740-8FA7-181CF02CEA6D}
-10408161.8536,4991550.0819,200009,20191109962,1880799,20191109962,81,F,IA,77,-77.0,1,77,1,1,19,77,1,1,2014,FORD,TAURUS,4D,IA,1,9,98,77,77,77,98,25,1,28,4,2,5,65,1,8,1,,0,2019,458019,4523212,,,,,,,2024/08/09 13:53:33+00,,{1EFBF77C-1C18-48A2-BDA3-BF0672508814}
-10093491.047,5238201.7069,200010,20191110630,1881970,20191110630,28,M,IA,1,0.278,1,77,6,1,6,11,2,1,2004,CHEV,SILVERADO,PK,IA,1,2,98,77,77,77,98,25,2,28,10,3,5,30,1,3,12,,0,2019,691298,4709412,,,,,,,2024/08/09 13:53:33+00,,{F9A52A92-6746-4636-868D-730AB76F6BC6}
