X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10616104.9653,4978017.876,650001,2015950331,2015950331001,2015950331,25.0,M,IA,1.0,10.0,1.0,,1.0,1.0,98.0,77.0,1,1,2001,FORD,FOCUS SE,4D,IA,1,1,33,94,77,77,33,25,1,28,12,5,5,39,2,8,1,,0,2015,300300,4515573,,,,,,,2024/08/09 13:53:33+00,,{F5FB57D6-757B-4E9E-A7AC-1A0D7452357E}
-10616104.9653,4978017.876,650002,2015950331,2015950331002,2015950331,200.0,NR,XX,77.0,10.0,77.0,,98.0,1.0,88.0,77.0,1,1,2012,NISS,JUKE,MP,NC,0,12,35,77,77,77,35,25,1,28,12,5,5,39,2,8,1,,0,2015,300300,4515573,,,,,,,2024/08/09 13:53:33+00,,{25C2F662-F60F-4D8A-B903-8A300D52E807}
-10618215.3662,4977200.5872,650003,2015950332,2015950332001,2015950332,72.0,F,IA,77.0,10.0,1.0,,1.0,1.0,88.0,77.0,1,1,2013,FORD,FUSION,4DR,IA,1,11,98,77,77,77,98,35,2,28,6,2,5,24,1,8,13,,0,2015,298683,4514999,,,,,,,2024/08/09 13:53:33+00,,{3237BE4C-0A19-4A7F-8F6E-9E713ABBEA48}
-10618215.3662,4977200.5872,650004,2015950332,2015950332002,2015950332,73.0,F,IA,1.0,10.0,1.0,,1.0,1.0,7.0,77.0,1,1,1996,FORD,TAURUS,SW,IA,2,1,33,98,77,77,98,35,2,28,12,2,5,24,1,8,13,,0,2015,298683,4514999,,,,,,,2024/08/09 13:53:33+00,,{87251413-AB08-4294-A24E-1F1160588FFD}
-10618223.4811,4976526.5672,650005,2015950342,2015950342001,2015950342,52.0,M,IA,77.0,10.0,1.0,,1.0,1.0,7.0,77.0,2,1,7777,FORD,RANGER SUPER,PICK UP,IA,2,1,33,77,77,77,33,35,1,28,12,4,5,24,1,8,1,,0,2015,298663,4514490,,,,,,,2024/08/09 13:53:33+00,,{9171DA32-47DE-4D63-B4A7-D428E1496D3D}
-10618223.4811,4976526.5672,650006,2015950342,2015950342002,2015950342,27.0,M,IA,77.0,10.0,1.0,,1.0,1.0,88.0,77.0,2,1,1999,Ford,F150,PICK UP,IA,1,1,33,77,77,77,33,35,1,28,12,3,5,24,1,8,1,,0,2015,298663,4514490,,,,,,,2024/08/09 13:53:33+00,,{6B8825F0-05B6-4531-8833-07936B3374A3}
-10206408.9788,5167709.0029,650007,2015897989,2015897989002,2015897989,200.0,NR,XX,77.0,10.0,77.0,,99.0,99.0,10.0,98.0,4,1,7777,NR,NR,VAN,XX,1,2,33,72,77,77,33,35,2,28,6,3,4,19,1,8,18,,0,2015,608769,4655598,,,,,,,2024/08/09 13:53:33+00,,{1688CB65-8C23-4625-AF26-30FC3DFDB397}
-10208063.2155,5171276.2422,650008,2015897990,2015897990001,2015897990,29.0,F,IA,77.0,10.0,1.0,,77.0,77.0,88.0,77.0,1,77,2007,Pontiac,GRA,4D,IA,1,1,31,77,77,77,31,777,77,28,77,77,5,1,77,8,77,,0,2015,607499,4658221,,,,,,,2024/08/09 13:53:33+00,,{895AD1EF-A6F5-4867-A1A6-D48E3CCC959D}
-10204872.445,5166609.2474,650009,2015897991,2015897991001,2015897991,41.0,F,IA,77.0,10.0,1.0,,1.0,1.0,88.0,77.0,3,1,2006,DODG,DUR,SW,IA,2,11,33,77,77,77,33,35,98,28,6,3,5,39,2,8,1,,0,2015,609924,4654801,,,,,,,2024/08/09 13:53:33+00,,{15E42008-F9C8-4FAA-944B-C69633EC6C55}
-10204872.445,5166609.2474,650010,2015897991,2015897991002,2015897991,67.0,F,IA,1.0,10.0,1.0,,1.0,1.0,98.0,77.0,1,1,2014,Lexus,G35,4D,IA,1,1,33,77,77,77,33,35,1,28,12,5,5,39,2,8,1,,0,2015,609924,4654801,,,,,,,2024/08/09 13:53:33+00,,{57F867FB-20C6-491A-A429-0EA7FF1641A8}
-10208154.331,5174235.8176,650011,2015897992,2015897992001,2015897992,57.0,M,IA,77.0,10.0,1.0,,77.0,77.0,88.0,77.0,1,77,2005,Toyota,COROLLA,4D,IA,1,1,31,77,77,77,31,777,77,28,77,77,3,1,77,8,77,,0,2015,607398,4660411,,,,,,,2024/08/09 13:53:33+00,,{A1FA10E4-9464-46F4-963E-30CBB35A8DE4}
-10489290.1085,5322465.7482,650012,2015897993,2015897993001,2015897993,89.0,M,IA,1.0,10.0,1.0,,1.0,1.0,1.0,77.0,2,1,1999,CHEV,S10,PK,IA,1,10,33,77,77,77,33,25,3,28,12,2,5,2,3,8,12,,0,2015,400109,4769197,,,,,,,2024/08/09 13:53:33+00,,{169CDF97-375D-4746-95AE-DAF7EB605714}
-10489290.1085,5322465.7482,650013,2015897993,2015897993002,2015897993,74.0,M,HL,77.0,10.0,1.0,,1.0,1.0,88.0,77.0,2,1,2011,DODG,R15,PK,IA,1,1,33,77,77,77,33,30,3,28,9,2,5,2,3,8,12,,0,2015,400109,4769197,,,,,,,2024/08/09 13:53:33+00,,{21FBA95A-CCBE-4136-89D6-3570CAF7FD1A}
-10489290.1085,5322465.7482,650014,2015897993,2015897993003,2015897993,58.0,F,IA,77.0,10.0,1.0,,1.0,1.0,88.0,77.0,3,1,2013,GMC,ACA,SW,IA,1,11,33,77,77,77,33,25,3,28,11,2,5,2,3,8,12,,0,2015,400109,4769197,,,,,,,2024/08/09 13:53:33+00,,{25D0E477-CB4B-4798-9245-229C7ACB255E}
-10489290.1085,5322465.7482,650015,2015897993,2015897993004,2015897993,42.0,F,IA,77.0,10.0,1.0,,1.0,1.0,88.0,77.0,2,1,2012,FORD,FORD,F150,IA,1,11,33,77,77,77,33,25,3,28,12,2,5,2,3,8,12,,0,2015,400109,4769197,,,,,,,2024/08/09 13:53:33+00,,{ED396D9D-F579-4F6C-9303-015901C7E6B6}
-10191782.7618,5248152.9441,650016,2015897994,2015897994001,2015897994,19.0,M,IA,1.0,10.0,1.0,,99.0,1.0,6.0,77.0,2,1,1995,FORD,F150,PK,IA,1,1,1,44,20,77,20,50,1,5,13,4,3,42,10,8,1,,0,2015,618635,4715110,,,,,,,2024/08/09 13:53:33+00,,{FDEFC07C-4AF5-465A-9FE9-2A7A71F4CF2A}
-10166530.7813,5209877.1863,650017,2015897995,2015897995001,2015897995,22.0,M,IA,1.0,0.155,1.0,,6.0,1.0,6.0,98.0,2,1,2002,Dodge,DAKOTA QUAD ,TRK,XX,1,1,1,44,20,34,20,55,1,5,13,5,3,42,1,3,1,,0,2015,637806,4687282,,,,,,,2024/08/09 13:53:33+00,,{16BAE0C5-CDC8-40F3-B941-C5B603CC3F52}
-10177082.0181,5230571.8962,650018,2015897996,2015897996001,2015897996,55.0,F,IA,77.0,10.0,1.0,,77.0,77.0,88.0,77.0,1,77,2003,Toyota,CAMRY,4D,IA,1,1,31,77,77,77,31,777,77,28,77,77,5,1,77,8,77,,0,2015,629713,4702378,,,,,,,2024/08/09 13:53:33+00,,{3B57A4AC-98A7-4D31-87DF-3929F66F8561}
