X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10592183.6486,5330912.9428,300001,20181049814,1776924,20181049814,46,M,CO,77,-77.0,1,77,1,1,88,77,1,1,2018,Subaru,NR,SD,CO,5,1,33,77,77,77,33,25,1,28,11,3,5,9,1,8,5,,0,2018,325010,4776866,,,,,,,2024/08/09 13:53:33+00,,{0DDC7EA4-2F20-4522-8FB6-407027C8ED8A}
-10099307.6057,5185637.9137,300002,20181049815,1776925,20181049815,64,M,IA,77,-77.0,1,77,1,1,98,77,8,4,1999,Freightliner,TRUCK,27T,IA,1,1,9,3,44,20,20,55,1,5,10,5,3,44,1,8,1,,0,2018,688043,4670538,,,,,,,2024/08/09 13:53:33+00,,{5E00BC61-C559-4560-BF39-DB90865DF6EF}
-10302026.454,5297695.6959,300003,20181049816,1776926,20181049816,33,M,MN,77,-77.0,1,77,77,77,88,77,13,2,2018,Volvo,NR,TT,MN,1,77,31,77,77,77,31,777,77,28,77,77,5,1,77,8,77,,0,2018,537169,4750493,,,,,,,2024/08/09 13:53:33+00,,{7ED93344-74C6-4421-B828-AA6555657BC0}
-10300918.7337,5285641.3168,300004,20181049817,1776927,20181049817,37,M,IA,77,-77.0,1,77,77,77,88,77,1,1,2008,FORD,TAU,4D,IA,2,77,77,77,77,77,77,777,77,28,77,77,5,1,77,8,77,,0,2018,538030,4741683,,,,,,,2024/08/09 13:53:33+00,,{B7E0D307-C86A-4ADE-9EAC-BE9B2662E59F}
-10278933.5671,5282302.6427,300005,20181049818,1776928,20181049818,38,M,IA,1,-77.0,1,77,5,1,6,77,17,1,2004,HD,XL1200C,MC,IA,1,1,3,11,20,95,20,65,1,28,9,4,2,44,1,8,1,,0,2018,554192,4739348,,,,,,,2024/08/09 13:53:33+00,,{5A440143-D201-4A35-9957-95920A41B9D0}
-10294097.8313,5262510.2331,300006,20181049819,1776929,20181049819,23,M,IA,77,-77.0,1,77,77,77,88,77,1,1,2008,TOYT,CAM,4D,IA,3,77,77,77,77,77,77,777,77,28,77,77,5,1,77,8,77,,0,2018,543144,4724769,,,,,,,2024/08/09 13:53:33+00,,{C401AE0E-A12E-4868-B0CE-E11B0DA65B80}
-10664990.4297,4972194.5157,300007,20181049820,1776930,20181049820,60,M,IA,77,-77.0,1,77,1,1,98,77,1,1,1949,AUST,DORSET,COUPE,IA,1,1,4,3,20,77,20,55,1,28,13,5,4,44,1,8,1,,0,2018,263091,4512266,,,,,,,2024/08/09 13:53:33+00,,{5AAAE295-05A1-418F-8046-D0380ED82A36}
-10664347.0573,4998011.9188,300008,20181049821,1776931,20181049821,52,F,MO,77,-77.0,1,77,1,1,7,77,4,1,2012,Dodge,CARAVAN,VAN,MO,2,1,33,33,33,33,33,70,1,28,12,5,5,24,1,8,1,,0,2018,264202,4531739,,,,,,,2024/08/09 13:53:33+00,,{229E1788-BD30-447D-A564-FC5A7CFFEE7C}
-10664347.0573,4998011.9188,300009,20181049821,1776932,20181049821,49,M,TN,77,-77.0,1,77,1,1,88,77,7,5,2014,Isuzu,NR,PENSKE,XX,1,1,33,77,77,77,33,70,1,28,12,1,5,24,1,8,1,,0,2018,264202,4531739,,,,,,,2024/08/09 13:53:33+00,,{E54616A7-B88C-44CE-9C56-BC81A15A80D7}
-10665856.2888,4982137.1062,300010,20181049822,1776933,20181049822,74,M,IA,77,-77.0,1,77,5,1,6,77,2,1,1990,Ford,RANGER,TRK,IA,1,1,4,3,20,77,20,55,1,28,10,4,4,44,10,8,1,,0,2018,262675,4519799,,,,,,,2024/08/09 13:53:33+00,,{E3E1B06D-837E-4133-A2BD-DD78CF4BFA64}
-10665129.8275,4985873.5269,300011,20181049823,1776934,20181049823,32,M,MO,77,-77.0,1,77,1,1,88,77,1,1,2013,Nissan,ALTIMA,4DR,MO,3,1,31,77,77,77,31,70,1,28,3,4,5,1,1,8,1,,0,2018,263316,4522601,,,,,,,2024/08/09 13:53:33+00,,{A66A1C7E-F4DF-4D22-BC10-7A5D5206A2E2}
-10196523.4697,5165445.5771,300012,20181049826,1776939,20181049826,17,M,IA,1,-77.0,1,77,1,1,40,77,1,1,2017,Nissan,SENTRA S,4D,IA,3,1,33,77,77,77,33,25,4,28,4,2,5,7,1,8,12,,0,2018,616146,4654038,,,,,,,2024/08/09 13:53:33+00,,{16CF839B-895F-4186-B7F6-374E694BBDBB}
-10196523.4697,5165445.5771,300013,20181049826,1776940,20181049826,25,F,IA,1,-77.0,1,77,1,1,88,77,3,1,2011,FORD,ESCAPE LIMIT,LL,IA,2,1,33,77,77,77,33,25,1,28,11,2,5,7,1,8,12,,0,2018,616146,4654038,,,,,,,2024/08/09 13:53:33+00,,{111A30AF-F6ED-4BC7-9204-5CA1ABD4D656}
-10196789.2271,5165970.9609,300014,20181049827,1776941,20181049827,18,M,IA,1,-77.0,1,77,1,1,7,77,2,1,2003,FORD,RANGER SUPER,PK,IA,1,3,33,77,77,77,33,20,2,28,12,2,5,24,1,8,12,,0,2018,615942,4654424,,,,,,,2024/08/09 13:53:33+00,,{F632BF6D-1D20-4143-A08E-FFB6CE7F88B7}
