X,Y,OBJECTID,VEH_CRASH_KEY,VEH_UNITKEY,CASENUMBER,DRIVERAGE,DRIVERGEN,DL_STATE,CHARGED,ALCRESULT,DRUGTEST,DRUGRESULT,DRIVERCOND,VISIONOBS,DCONTCIRC1,DCONTCIRC2,VCONFIG,CARGOBODY,VYEAR,MAKE,MODEL,STYLE,VLP_STATE,OCCUPANTS,VACTION,SEQEVENTS1,SEQEVENTS2,SEQEVENTS3,SEQEVENTS4,MOSTHARM,SPEEDLIMIT,TRAFCONT,FIXOBJSTR,MOSTDAMAGE,DAMAGE,CSEVERITY,MAJORCAUSE,CSURFCOND,DRUGALCREL,ROADTYPE,WZ_RELATED,FATALITIES,CRASH_YEAR,XCOORD,YCOORD,FROM_MEASURE,TO_MEASURE,ROUTEID,CRASH_DATETIME,CRASH_DATETIME_UTC,CRASH_DATETIME_UTC_OFFSET,REST_UPDATED,REST_UPDATED_UTC_OFFSET,GLOBALID
-10635332.2434,5233708.2051,1,20211228945,2077072,20211228945,16,F,IA,77,-77.0,1,77,1,1,88,77,1,1,2011,BMW,335,SD,IA,1,1,33,77,77,77,33,25,1,28,12,2,5,9,3,8,5,,0,2021,291335,4706603,,,,,,,2024/08/09 13:53:33+00,,{3F9A4B9A-0748-430B-84FC-97391F3E737C}
-10673341.3839,5051050.803,2,20211228946,2077073,20211228946,28,M,NE,1,-77.0,1,77,1,1,44,77,3,1,2016,Jeep,GRAND CHEROK,PC,NE,1,3,33,77,77,77,33,35,1,28,12,4,4,10,1,8,5,,0,2021,258714,4571834,,,,,,,2024/08/09 13:53:33+00,,{4C03B35F-2123-42B0-8414-15C6CCC001A2}
-10673341.3839,5051050.803,3,20211228946,2077074,20211228946,18,M,IA,77,-77.0,1,77,1,1,88,77,2,1,1997,CHEV,C1500,PK,IA,4,1,33,77,77,77,33,35,1,28,4,3,4,10,1,8,5,,0,2021,258714,4571834,,,,,,,2024/08/09 13:53:33+00,,{4E0EEC25-EEBA-4903-892C-42D422D56412}
-10340342.2559,5072628.2341,4,20211228947,2077075,20211228947,36,M,IA,77,-77.0,1,77,1,1,19,77,4,1,2012,DODG,CVN,VN,IA,1,1,33,77,77,77,33,45,1,28,6,3,4,73,1,8,5,,0,2021,509288,4583996,,,,,,,2024/08/09 13:53:33+00,,{3008B03C-8416-4ACC-8B11-0A9C7F697152}
-10340342.2559,5072628.2341,5,20211228947,2077076,20211228947,18,F,IA,77,-77.0,1,77,1,1,88,77,3,1,2010,NISS,MUR,SW,IA,1,1,33,30,77,77,33,45,1,28,12,5,4,73,1,8,5,,0,2021,509288,4583996,,,,,,,2024/08/09 13:53:33+00,,{F021F495-7B80-4002-B4ED-B7E47B82D56B}
-10421747.0562,5118517.8717,6,20211228949,2077079,20211228949,21,F,IA,77,-77.0,1,77,1,1,88,77,3,1,2018,JEEP,RENEGADE LAT,UT,IA,1,11,33,77,77,77,33,35,2,28,5,4,5,20,3,8,12,,0,2021,448413,4618420,,,,,,,2024/08/09 13:53:33+00,,{21994EBF-D6F5-4D8A-B51C-4E69ED04DF1F}
-10421747.0562,5118517.8717,7,20211228949,2077080,20211228949,17,M,IA,77,-77.0,1,77,1,1,5,77,1,1,2003,TOYO,COROLLA CE/L,4D,IA,1,10,33,77,77,77,33,35,2,28,11,4,5,20,3,8,12,,0,2021,448413,4618420,,,,,,,2024/08/09 13:53:33+00,,{4CFECD29-7F50-45DE-9293-02DDB6C29535}
-10674473.1891,5047839.2572,8,20211228950,2077081,20211228950,200,NR,XX,77,-77.0,77,77,99,99,6,99,3,1,7777,NR,NR,SUV,XX,1,1,33,72,77,77,33,45,2,28,99,9,5,45,1,8,12,,0,2021,257782,4569454,,,,,,,2024/08/09 13:53:33+00,,{782BB6D6-4D70-44BC-84E5-C0EF3594D23D}
-10674473.1891,5047839.2572,9,20211228950,2077082,20211228950,51,M,IA,77,-77.0,1,77,1,1,88,77,2,1,2020,Nissan,TTN,PK,IA,2,11,33,77,77,77,33,45,2,28,7,2,5,45,1,8,12,,0,2021,257782,4569454,,,,,,,2024/08/09 13:53:33+00,,{1C6FEC66-90DC-432F-B61B-064F5893A8DE}
-10408735.9115,5103852.0081,10,20211228951,2077083,20211228951,22,F,IA,1,-77.0,1,77,1,1,40,77,1,1,2011,Chevrolet,CRUZE LT,4D,IA,1,98,34,33,77,77,34,40,4,28,12,5,3,7,1,8,12,,0,2021,458072,4607430,,,,,,,2024/08/09 13:53:33+00,,{1D495D6D-60EB-44B1-801C-D0BA8D860E6D}
